"Поисковая фраза (Директ)","Кампания Яндекс.Директа","Визиты","Посетители","Клики","Расходы, RUB","Отказы","Глубина просмотра","Время на сайте","Достижения избранных целей"
"ремонт инсталляции унитаза спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","13","11","12","6282.6453","0.07692307692307693","1.6153846153846154","00:01:55","2"
"сантехник в колпино на дом дешево и быстро","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","14","11","12","6583.2525000000005","0.2857142857142857","1.0714285714285714","00:02:26","4"
"сантехник в спб вызов на дом","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","12","11","13","8267.7568","0.0","1.3333333333333333","00:01:22","4"
"сантехник красносельский район спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","12","11","14","7435.946","0.25","1.0833333333333333","00:00:26","7"
"сантехник на час спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","13","11","14","6326.5839000000005","0.15384615384615385","1.1538461538461537","00:02:01","3"
"сантехник парнас спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","12","11","12","7547.8287","0.08333333333333331","1.75","00:02:24","2"
"сантехник спб вызвать","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","11","11","11","7598.8427999999985","0.0","1.2727272727272727","00:00:45","5"
"слесарь сантехник","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","15","11","12","3401.357","0.26666666666666666","1.0666666666666667","00:00:23","1"
"служба сантехников спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","12","11","16","7741.910400000001","0.33333333333333326","1.0","00:00:33","4"
"услуги сантехника в спб","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","14","11","12","1500.0","0.0","1.4285714285714286","00:00:18","1"
"установка унитаза спб стоимость работ","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","13","11","12","1174.5612999999998","0.15384615384615385","1.3846153846153846","00:00:35","3"
"водопроводчик на дом в спб","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","11","10","11","4500.0","0.18181818181818182","1.4545454545454546","00:02:05","3"
"вызвать сантехника спб"," 24santehnik.com / мк / СПБ ок авто ( N-701674809 )","10","10","13","2100.0","0.0","1.1","00:00:27","1"
"замена смесителя на кухне цена в спб","eLama | 24santehnik | Товарная | СПб ( N-109583585 )","11","10","10","3400.0","0.36363636363636365","1.4545454545454546","00:00:29","2"
"замена счетчиков воды","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","11","10","10","1500.0","0.0","1.0909090909090908","00:00:26","0"
"замена счетчиков воды в спб цена","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","11","10","10","0.0","0.2727272727272727","1.1818181818181819","00:00:22","0"
"купить унитаз с установкой и доставкой в спб","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","10","10","10","0.0","0.4","1.6","00:01:11","0"
"ремонт ванны","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","10","10","11","2545.6992999999998","0.6","1.3","00:00:10","1"
"ремонт и установка стиральных машин","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","11","10","12","5164.0438","0.36363636363636365","1.0909090909090908","00:00:37","1"
"сантехник в колпино","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","15","10","15","5113.1102","0.13333333333333333","1.1333333333333333","00:00:55","4"
"сантехник в кронштадте","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","12","10","10","1990.4768000000001","0.16666666666666663","1.0833333333333333","00:00:15","1"
"сантехник в санкт петербурге","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","10","10","10","4767.2523","0.1","1.0","00:00:41","3"
"сантехник калининский район","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","14","10","11","4519.9121000000005","0.07142857142857142","1.5714285714285714","00:02:54","3"
"сантехник на дом","eLama | 24santehnik | Товарная | СПб ( N-109583585 )","10","10","11","0.0","0.1","1.0","00:00:25","1"
"сантехник на дом спб недорого","eLama | 24santehnik | Товарная | СПб ( N-109583585 )","10","10","9","4900.0","0.1","1.7","00:04:32","3"
"сантехник на дом спб недорого красносельский район","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","13","10","11","4700.0316","0.15384615384615385","1.1538461538461537","00:00:42","5"
"сантехник спб недорого","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","11","10","11","5835.780000000001","0.18181818181818182","1.0909090909090908","00:00:31","3"
"сантехнические услуги в спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","11","10","11","3358.6391","0.18181818181818182","1.3636363636363635","00:02:44","1"
"установка счетчиков воды в спб","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","10","10","10","0.0","0.1","1.4","00:00:21","0"
"аварийная служба спб","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","9","9","12","0.0","0.5555555555555556","1.0","00:00:07","0"
"вызвать сантехника на дом в спб","eLama | 24santehnik | Товарная | СПб ( N-109583585 )","14","9","10","6200.0","0.21428571428571427","1.5714285714285714","00:03:00","4"
"замена батареи отопления в квартире стоимость в спб","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","9","9","8","0.0","0.33333333333333326","1.2222222222222223","00:00:12","0"
"замена сифона под раковиной","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","13","9","13","1508.8191","0.5384615384615384","1.3846153846153846","00:00:27","0"
"замена счетчиков воды в спб","eLama | 24santehnik | Товарная | СПб ( N-109583585 )","9","9","11","1700.0","0.2222222222222222","1.4444444444444444","00:01:08","1"
"как вызвать сантехника по месту жительства спб","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","9","9","9","2000.0","0.5555555555555556","1.3333333333333333","00:00:41","1"
"муж на час санкт петербург цены","муж на час / поиск / спб окл 600 ( N-704150420 )","9","9","11","3309.4710999999998","0.7777777777777779","1.0","00:00:03","0"
"платная аварийная служба сантехников спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","12","9","9","2490.4404","0.16666666666666663","1.75","00:03:15","6"
"поверка счетчиков воды в спб на дому","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","9","9","9","0.0","0.0","1.0","00:00:14","0"
"поверка счетчиков воды в спб на дому","eLama | 24santehnik | Товарная | СПб ( N-109583585 )","9","9","10","0.0","0.5555555555555556","1.1111111111111112","00:02:05","0"
"подключить стиральную машину цена спб","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","9","9","9","0.0","0.0","1.8888888888888888","00:00:29","0"
"санкт петербург сантехник","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","11","9","9","4856.9262","0.18181818181818182","1.1818181818181819","00:00:38","4"
"сантехник 24","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","9","9","8","0.0","0.1111111111111111","1.5555555555555556","00:02:15","0"
"сантехник в спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","11","9","11","5906.6279","0.09090909090909091","1.1818181818181819","00:00:17","1"
"сантехник в шушарах спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","16","9","13","6075.2939","0.1875","1.5625","00:00:50","6"
"сантехник всеволожск","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","11","9","10","1549.0851","0.36363636363636365","1.2727272727272727","00:01:51","1"
"сантехник вызвать санкт петербург","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","12","9","11","8708.7926","0.33333333333333326","1.0","00:00:35","3"
"сантехник вызвать спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","10","9","13","4836.962799999999","0.1","1.3","00:00:48","7"
"сантехник красносельский район","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","10","9","9","4461.0225","0.0","1.2","00:00:25","2"
"сантехник мурино вызов на дом","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","14","9","11","4811.529299999999","0.14285714285714285","1.2857142857142858","00:01:14","6"
"сантехник на дом санкт петербург","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","9","9","9","6565.424800000001","0.0","1.0","00:00:34","2"
"сантехник на дом спб срочно","конверсионные / поиск / спб окл 600 ( N-701641638 )","9","9","10","5645.536700000001","0.1111111111111111","1.2222222222222223","00:02:17","2"
"сантехник пушкин вызов на дом","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","13","9","10","6928.0619","0.07692307692307693","1.3076923076923077","00:02:08","10"
"сантехник спб калининский район","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","15","9","10","4669.3436","0.0","1.1333333333333333","00:00:31","1"
"сантехника спб","конверсионные / поиск / спб окл 600 ( N-701641638 )","11","9","10","2858.6672","0.45454545454545453","1.0909090909090908","00:00:13","1"
"сантехники спб","eLama | 24santehnik | Товарная | СПб ( N-109583585 )","10","9","9","4500.0","0.2","1.2","00:00:23","4"
"сантехнические работы в спб","eLama | 24santehnik | Товарная | СПб ( N-109583585 )","9","9","10","3000.0","0.0","1.7777777777777777","00:05:03","2"
